unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1633028400000,2021-09-30 19:00:00,ETH/USDT,3035.25,3042.59,2990.06,2990.86,67064.986,202237688.87974,100649
1633024800000,2021-09-30 18:00:00,ETH/USDT,2993.89,3047.00,2989.51,3035.24,99994.649,302053542.76950,136339
1633021200000,2021-09-30 17:00:00,ETH/USDT,2982.12,3004.76,2973.85,2993.89,69513.367,207907206.35395,97665
1633017600000,2021-09-30 16:00:00,ETH/USDT,2984.98,2997.00,2963.40,2982.11,72313.351,215234910.30988,101985
1633014000000,2021-09-30 15:00:00,ETH/USDT,2977.69,3014.00,2967.94,2984.98,111594.578,333900794.36508,133434
1633010400000,2021-09-30 14:00:00,ETH/USDT,2973.22,2984.73,2951.24,2977.68,82805.667,245892921.01053,113858
1633006800000,2021-09-30 13:00:00,ETH/USDT,3007.45,3015.50,2964.29,2973.33,124423.539,372203778.60502,146216
1633003200000,2021-09-30 12:00:00,ETH/USDT,2962.72,3030.89,2958.97,3007.45,138830.853,416308828.41049,175444
1632999600000,2021-09-30 11:00:00,ETH/USDT,2950.80,2966.96,2944.11,2962.71,79004.802,233598343.62801,105981
1632996000000,2021-09-30 10:00:00,ETH/USDT,2980.62,3005.95,2938.92,2950.78,93204.830,277263720.73354,135316
1632992400000,2021-09-30 09:00:00,ETH/USDT,2975.89,2993.47,2966.67,2980.32,70852.678,211283880.57237,101783
1632988800000,2021-09-30 08:00:00,ETH/USDT,3001.85,3013.17,2958.00,2975.89,130256.391,388006600.50259,157490
1632985200000,2021-09-30 07:00:00,ETH/USDT,3020.55,3025.86,2994.00,3001.84,92772.660,278832294.76760,113645
1632981600000,2021-09-30 06:00:00,ETH/USDT,3028.15,3044.44,3018.52,3020.67,50977.032,154491434.03086,77086
1632978000000,2021-09-30 05:00:00,ETH/USDT,3018.65,3040.75,3018.38,3028.03,46125.441,139610520.68201,75510
1632974400000,2021-09-30 04:00:00,ETH/USDT,3027.48,3049.30,3015.50,3018.65,102735.057,311507767.51861,136091
1632970800000,2021-09-30 03:00:00,ETH/USDT,2990.46,3037.93,2971.70,3027.48,126650.336,380063154.72104,170598
1632967200000,2021-09-30 02:00:00,ETH/USDT,2960.24,2993.00,2956.20,2990.47,62042.900,184356389.69231,95325
1632963600000,2021-09-30 01:00:00,ETH/USDT,2931.57,2989.00,2915.77,2959.95,166661.695,492920457.67586,208483
1632960000000,2021-09-30 00:00:00,ETH/USDT,2848.38,2937.00,2835.29,2931.56,150308.600,433859275.47896,184100
1632956400000,2021-09-29 23:00:00,ETH/USDT,2835.78,2853.14,2830.00,2848.38,38043.764,108094038.64190,63418
1632952800000,2021-09-29 22:00:00,ETH/USDT,2820.07,2844.00,2811.13,2835.79,59509.599,168284564.75777,77045
1632949200000,2021-09-29 21:00:00,ETH/USDT,2820.90,2833.28,2803.49,2820.07,47994.409,135269247.18274,71783
1632945600000,2021-09-29 20:00:00,ETH/USDT,2808.87,2825.10,2780.00,2820.91,108467.730,303560174.51358,134926
